Year,Year ending,Police Region,Local Government Area,Victim Reports,"Rate per 100,000 population"
2021,December,4 Western, Glenelg,626,"3,121.3"
2021,December,4 Western, Golden Plains,300,"1,205.8"
2021,December,4 Western, Greater Bendigo,"4,130","3,407.0"
2021,December,4 Western, Greater Geelong,"8,343","3,081.1"
2021,December,4 Western, Hepburn,268,"1,626.6"
2021,December,4 Western, Hindmarsh,201,"3,553.7"
2021,December,4 Western, Horsham,783,"3,844.1"
2021,December,4 Western, Loddon,209,"2,714.3"
2021,December,4 Western, Macedon Ranges,698,"1,353.3"
2021,December,4 Western, Mildura,"2,690","4,721.9"
2021,December,4 Western, Moorabool,853,"2,251.0"
2021,December,4 Western, Mount Alexander,365,"1,815.4"
2021,December,4 Western, Moyne,322,"1,862.2"
2021,December,4 Western, Northern Grampians,382,"3,214.1"
2021,December,4 Western, Pyrenees,185,"2,430.1"
2021,December,4 Western, Queenscliffe,51,"1,576.5"
2021,December,4 Western, Southern Grampians,391,"2,371.4"
2021,December,4 Western, Surf Coast,643,"1,709.1"
2021,December,4 Western, Swan Hill,813,"3,802.1"
2021,December,4 Western, Warrnambool,"1,233","3,481.2"
2021,December,4 Western, West Wimmera,98,"2,464.2"
2021,December,4 Western, Yarriambiack,155,"2,380.6"
2021,December,4 Western,Total,"31,626","3,019.5"
2021,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,746,
2021,December,Justice Institutions and Immigration Facilities,Total,746,
2021,December,Unincorporated Vic, Unincorporated Vic,34,
2021,December,Unincorporated Vic,Total,34,
2020,December,1 North West Metro, Banyule,"3,457","2,656.8"
2020,December,1 North West Metro, Brimbank,"7,295","3,576.0"
2020,December,1 North West Metro, Darebin,"6,485","4,133.9"
2020,December,1 North West Metro, Hobsons Bay,"2,294","2,413.0"
2020,December,1 North West Metro, Hume,"7,812","3,211.5"
2020,December,1 North West Metro, Maribyrnong,"4,147","4,643.5"
2020,December,1 North West Metro, Melbourne,"11,063","6,476.9"
2020,December,1 North West Metro, Melton,"4,939","2,851.1"
2020,December,1 North West Metro, Merri-bek,"6,601","3,671.0"
