Year,Year ending,Local Government Area,Sex,Victim Reports
2022,December,Northern Grampians,People,367
2022,December,Port Phillip,Females,"2,643"
2022,December,Port Phillip,Males,"3,621"
2022,December,Port Phillip,Organisations,"1,607"
2022,December,Port Phillip,People,"6,370"
2022,December,Pyrenees,Females,75
2022,December,Pyrenees,Males,81
2022,December,Pyrenees,Organisations,58
2022,December,Pyrenees,People,158
2022,December,Queenscliffe,Females,31
2022,December,Queenscliffe,Males,35
2022,December,Queenscliffe,Organisations,16
2022,December,Queenscliffe,People,67
2022,December,South Gippsland,Females,377
2022,December,South Gippsland,Males,341
2022,December,South Gippsland,Organisations,249
2022,December,South Gippsland,People,726
2022,December,Southern Grampians,Females,224
2022,December,Southern Grampians,Males,189
2022,December,Southern Grampians,Organisations,116
2022,December,Southern Grampians,People,419
2022,December,Stonnington,Females,"2,344"
2022,December,Stonnington,Males,"3,023"
2022,December,Stonnington,Organisations,"1,823"
2022,December,Stonnington,People,"5,438"
2022,December,Strathbogie,Females,107
2022,December,Strathbogie,Males,96
2022,December,Strathbogie,Organisations,63
2022,December,Strathbogie,People,213
2022,December,Surf Coast,Females,230
2022,December,Surf Coast,Males,295
2022,December,Surf Coast,Organisations,176
2022,December,Surf Coast,People,530
2022,December,Swan Hill,Females,349
2022,December,Swan Hill,Males,373
2022,December,Swan Hill,Organisations,225
2022,December,Swan Hill,People,732
2022,December,Towong,Females,54
2022,December,Towong,Males,37
2022,December,Towong,Organisations,18
2022,December,Towong,People,93
2022,December,Wangaratta,Females,373
2022,December,Wangaratta,Males,418
2022,December,Wangaratta,Organisations,312
2022,December,Wangaratta,People,806
2022,December,Warrnambool,Females,500
2022,December,Warrnambool,Males,419
2022,December,Warrnambool,Organisations,308
2022,December,Warrnambool,People,936
2022,December,Wellington,Females,873
2022,December,Wellington,Males,863
2022,December,Wellington,Organisations,392
2022,December,Wellington,People,"1,763"
2022,December,West Wimmera,Females,28
2022,December,West Wimmera,Males,19
2022,December,West Wimmera,Organisations,21
2022,December,West Wimmera,People,47
2022,December,Whitehorse,Females,"1,739"
2022,December,Whitehorse,Males,"2,059"
2022,December,Whitehorse,Organisations,"1,279"
2022,December,Whitehorse,People,"3,846"
2022,December,Whittlesea,Females,"2,275"
2022,December,Whittlesea,Males,"2,573"
2022,December,Whittlesea,Organisations,"1,919"
2022,December,Whittlesea,People,"4,932"
2022,December,Wodonga,Females,766
2022,December,Wodonga,Males,717
2022,December,Wodonga,Organisations,487
2022,December,Wodonga,People,"1,510"
2022,December,Wyndham,Females,"3,816"
2022,December,Wyndham,Males,"4,234"
2022,December,Wyndham,Organisations,"2,749"
2022,December,Wyndham,People,"8,167"
2022,December,Yarra,Females,"2,555"
2022,December,Yarra,Males,"3,187"
2022,December,Yarra,Organisations,"1,917"
2022,December,Yarra,People,"5,810"
2022,December,Yarra Ranges,Females,"1,392"
2022,December,Yarra Ranges,Males,"1,265"
2022,December,Yarra Ranges,Organisations,992
2022,December,Yarra Ranges,People,"2,697"
2022,December,Yarriambiack,Females,85
2022,December,Yarriambiack,Males,92
2022,December,Yarriambiack,Organisations,41
2022,December,Yarriambiack,People,181
2021,December,Alpine,Females,77
2021,December,Alpine,Males,112
2021,December,Alpine,Organisations,45
2021,December,Alpine,People,191
2021,December,Ararat,Females,220
2021,December,Ararat,Males,262
2021,December,Ararat,Organisations,119
2021,December,Ararat,People,488
2021,December,Ballarat,Females,"2,070"
2021,December,Ballarat,Males,"2,352"
2021,December,Ballarat,Organisations,"1,562"
2021,December,Ballarat,People,"4,497"
2021,December,Banyule,Females,"1,338"
2021,December,Banyule,Males,"1,569"
2021,December,Banyule,Organisations,824
2021,December,Banyule,People,"2,957"
2021,December,Bass Coast,Females,637
2021,December,Bass Coast,Males,647
2021,December,Bass Coast,Organisations,287
2021,December,Bass Coast,People,"1,310"
2021,December,Baw Baw,Females,842
2021,December,Baw Baw,Males,728
2021,December,Baw Baw,Organisations,494
2021,December,Baw Baw,People,"1,599"
2021,December,Bayside,Females,"1,070"
2021,December,Bayside,Males,"1,223"
2021,December,Bayside,Organisations,552
2021,December,Bayside,People,"2,307"
2021,December,Benalla,Females,273
2021,December,Benalla,Males,275
2021,December,Benalla,Organisations,143
2021,December,Benalla,People,558
2021,December,Boroondara,Females,"1,594"
2021,December,Boroondara,Males,"2,117"
2021,December,Boroondara,Organisations,"1,261"
2021,December,Boroondara,People,"3,751"
2021,December,Brimbank,Females,"3,090"
2021,December,Brimbank,Males,"4,192"
2021,December,Brimbank,Organisations,"2,551"
2021,December,Brimbank,People,"7,412"
2021,December,Buloke,Females,44
2021,December,Buloke,Males,61
2021,December,Buloke,Organisations,38
2021,December,Buloke,People,105
2021,December,Campaspe,Females,514
2021,December,Campaspe,Males,582
2021,December,Campaspe,Organisations,355
2021,December,Campaspe,People,"1,110"
2021,December,Cardinia,Females,"1,300"
2021,December,Cardinia,Males,"1,334"
2021,December,Cardinia,Organisations,"1,017"
2021,December,Cardinia,People,"2,679"
2021,December,Casey,Females,"4,088"
2021,December,Casey,Males,"4,322"
2021,December,Casey,Organisations,"2,576"
2021,December,Casey,People,"8,537"
2021,December,Central Goldfields,Females,260
2021,December,Central Goldfields,Males,214
2021,December,Central Goldfields,Organisations,86
2021,December,Central Goldfields,People,480
2021,December,Colac-Otway,Females,288
2021,December,Colac-Otway,Males,278
2021,December,Colac-Otway,Organisations,123
2021,December,Colac-Otway,People,574
2021,December,Corangamite,Females,164
2021,December,Corangamite,Males,185
2021,December,Corangamite,Organisations,95
2021,December,Corangamite,People,353
2021,December,Darebin,Females,"2,380"
2021,December,Darebin,Males,"3,043"
2021,December,Darebin,Organisations,"2,088"
2021,December,Darebin,People,"5,522"
2021,December,East Gippsland,Females,997
2021,December,East Gippsland,Males,902
2021,December,East Gippsland,Organisations,545
2021,December,East Gippsland,People,"1,922"
2021,December,Frankston,Females,"2,131"
2021,December,Frankston,Males,"2,276"
2021,December,Frankston,Organisations,"1,310"
2021,December,Frankston,People,"4,487"
2021,December,Gannawarra,Females,131
2021,December,Gannawarra,Males,143
2021,December,Gannawarra,Organisations,83
2021,December,Gannawarra,People,280
2021,December,Glen Eira,Females,"1,496"
2021,December,Glen Eira,Males,"2,110"
2021,December,Glen Eira,Organisations,818
2021,December,Glen Eira,People,"3,639"
2021,December,Glenelg,Females,270
2021,December,Glenelg,Males,344
2021,December,Glenelg,Organisations,157
2021,December,Glenelg,People,626
2021,December,Golden Plains,Females,110
2021,December,Golden Plains,Males,186
2021,December,Golden Plains,Organisations,77
2021,December,Golden Plains,People,300
2021,December,Greater Bendigo,Females,"2,097"
2021,December,Greater Bendigo,Males,"1,951"
2021,December,Greater Bendigo,Organisations,"1,354"
2021,December,Greater Bendigo,People,"4,130"
2021,December,Greater Dandenong,Females,"2,724"
2021,December,Greater Dandenong,Males,"3,699"
2021,December,Greater Dandenong,Organisations,"2,162"
2021,December,Greater Dandenong,People,"6,534"
2021,December,Greater Geelong,Females,"4,013"
2021,December,Greater Geelong,Males,"4,198"
2021,December,Greater Geelong,Organisations,"2,980"
2021,December,Greater Geelong,People,"8,343"
2021,December,Greater Shepparton,Females,"1,479"
2021,December,Greater Shepparton,Males,"1,453"
2021,December,Greater Shepparton,Organisations,"1,155"
2021,December,Greater Shepparton,People,"2,996"
2021,December,Hepburn,Females,123
2021,December,Hepburn,Males,142
2021,December,Hepburn,Organisations,90
2021,December,Hepburn,People,268
2021,December,Hindmarsh,Females,91
2021,December,Hindmarsh,Males,103
2021,December,Hindmarsh,Organisations,45
2021,December,Hindmarsh,People,201
2021,December,Hobsons Bay,Females,"1,155"
2021,December,Hobsons Bay,Males,"1,448"
2021,December,Hobsons Bay,Organisations,"1,030"
2021,December,Hobsons Bay,People,"2,637"
2021,December,Horsham,Females,408
2021,December,Horsham,Males,352
2021,December,Horsham,Organisations,220
2021,December,Horsham,People,783
2021,December,Hume,Females,"3,330"
2021,December,Hume,Males,"3,934"
2021,December,Hume,Organisations,"2,092"
2021,December,Hume,People,"7,388"
2021,December,Indigo,Females,130
2021,December,Indigo,Males,163
2021,December,Indigo,Organisations,57
2021,December,Indigo,People,296
2021,December,Kingston,Females,"1,753"
2021,December,Kingston,Males,"2,209"
2021,December,Kingston,Organisations,"1,518"
2021,December,Kingston,People,"4,014"
2021,December,Knox,Females,"1,664"
2021,December,Knox,Males,"1,948"
2021,December,Knox,Organisations,"1,518"
2021,December,Knox,People,"3,675"
2021,December,Latrobe,Females,"2,103"
2021,December,Latrobe,Males,"1,768"
2021,December,Latrobe,Organisations,"1,233"
2021,December,Latrobe,People,"3,962"
2021,December,Loddon,Females,96
2021,December,Loddon,Males,109
2021,December,Loddon,Organisations,67
2021,December,Loddon,People,209
2021,December,Macedon Ranges,Females,339
2021,December,Macedon Ranges,Males,347
2021,December,Macedon Ranges,Organisations,250
2021,December,Macedon Ranges,People,698
2021,December,Manningham,Females,853
2021,December,Manningham,Males,"1,001"
2021,December,Manningham,Organisations,670
2021,December,Manningham,People,"1,874"
2021,December,Mansfield,Females,74
2021,December,Mansfield,Males,74
2021,December,Mansfield,Organisations,34
2021,December,Mansfield,People,152
2021,December,Maribyrnong,Females,"1,851"
2021,December,Maribyrnong,Males,"2,698"
2021,December,Maribyrnong,Organisations,"1,414"
2021,December,Maribyrnong,People,"4,596"
2021,December,Maroondah,Females,"1,313"
2021,December,Maroondah,Males,"1,463"
2021,December,Maroondah,Organisations,"1,024"
2021,December,Maroondah,People,"2,818"
2021,December,Melbourne,Females,"4,699"
2021,December,Melbourne,Males,"7,018"
2021,December,Melbourne,Organisations,"4,730"
2021,December,Melbourne,People,"11,982"
2021,December,Melton,Females,"2,423"
2021,December,Melton,Males,"2,602"
2021,December,Melton,Organisations,"2,043"
2021,December,Melton,People,"5,123"
2021,December,Merri-bek,Females,"2,726"
2021,December,Merri-bek,Males,"3,417"
2021,December,Merri-bek,Organisations,"1,688"
2021,December,Merri-bek,People,"6,226"
2021,December,Mildura,Females,"1,282"
2021,December,Mildura,Males,"1,380"
2021,December,Mildura,Organisations,616
2021,December,Mildura,People,"2,690"
2021,December,Mitchell,Females,685
2021,December,Mitchell,Males,598
2021,December,Mitchell,Organisations,363
2021,December,Mitchell,People,"1,309"
2021,December,Moira,Females,378
2021,December,Moira,Males,417
2021,December,Moira,Organisations,255
2021,December,Moira,People,817
2021,December,Monash,Females,"2,193"
2021,December,Monash,Males,"2,892"
2021,December,Monash,Organisations,"2,067"
2021,December,Monash,People,"5,146"
2021,December,Moonee Valley,Females,"1,602"
2021,December,Moonee Valley,Males,"2,111"
2021,December,Moonee Valley,Organisations,"1,268"
2021,December,Moonee Valley,People,"3,767"
2021,December,Moorabool,Females,376
2021,December,Moorabool,Males,461
2021,December,Moorabool,Organisations,252
2021,December,Moorabool,People,853
2021,December,Mornington Peninsula,Females,"1,769"
2021,December,Mornington Peninsula,Males,"1,774"
2021,December,Mornington Peninsula,Organisations,913
2021,December,Mornington Peninsula,People,"3,593"
2021,December,Mount Alexander,Females,183
2021,December,Mount Alexander,Males,177
2021,December,Mount Alexander,Organisations,151
2021,December,Mount Alexander,People,365
2021,December,Moyne,Females,151
2021,December,Moyne,Males,164
2021,December,Moyne,Organisations,86
2021,December,Moyne,People,322
2021,December,Murrindindi,Females,174
2021,December,Murrindindi,Males,160
2021,December,Murrindindi,Organisations,62
2021,December,Murrindindi,People,341
2021,December,Nillumbik,Females,370
2021,December,Nillumbik,Males,428
2021,December,Nillumbik,Organisations,298
2021,December,Nillumbik,People,804
2021,December,Northern Grampians,Females,192
2021,December,Northern Grampians,Males,185
2021,December,Northern Grampians,Organisations,90
2021,December,Northern Grampians,People,382
2021,December,Port Phillip,Females,"2,595"
2021,December,Port Phillip,Males,"3,539"
2021,December,Port Phillip,Organisations,"1,579"
2021,December,Port Phillip,People,"6,211"
2021,December,Pyrenees,Females,78
2021,December,Pyrenees,Males,103
2021,December,Pyrenees,Organisations,50
2021,December,Pyrenees,People,185
2021,December,Queenscliffe,Females,20
2021,December,Queenscliffe,Males,31
2021,December,Queenscliffe,Organisations,14
2021,December,Queenscliffe,People,51
2021,December,South Gippsland,Females,363
2021,December,South Gippsland,Males,279
2021,December,South Gippsland,Organisations,192
2021,December,South Gippsland,People,650
2021,December,Southern Grampians,Females,182
2021,December,Southern Grampians,Males,199
2021,December,Southern Grampians,Organisations,86
2021,December,Southern Grampians,People,391
2021,December,Stonnington,Females,"2,245"
2021,December,Stonnington,Males,"2,854"
2021,December,Stonnington,Organisations,"1,644"
2021,December,Stonnington,People,"5,178"
2021,December,Strathbogie,Females,136
2021,December,Strathbogie,Males,118
2021,December,Strathbogie,Organisations,53
2021,December,Strathbogie,People,261
2021,December,Surf Coast,Females,289
2021,December,Surf Coast,Males,346
2021,December,Surf Coast,Organisations,195
2021,December,Surf Coast,People,643
2021,December,Swan Hill,Females,410
2021,December,Swan Hill,Males,388
2021,December,Swan Hill,Organisations,216
2021,December,Swan Hill,People,813
2021,December,Towong,Females,50
2021,December,Towong,Males,40
2021,December,Towong,Organisations,33
2021,December,Towong,People,90
2021,December,Wangaratta,Females,402
2021,December,Wangaratta,Males,408
2021,December,Wangaratta,Organisations,221
2021,December,Wangaratta,People,829
2021,December,Warrnambool,Females,668
2021,December,Warrnambool,Males,539
2021,December,Warrnambool,Organisations,291
2021,December,Warrnambool,People,"1,233"
2021,December,Wellington,Females,801
2021,December,Wellington,Males,821
2021,December,Wellington,Organisations,369
2021,December,Wellington,People,"1,653"
2021,December,West Wimmera,Females,52
2021,December,West Wimmera,Males,43
2021,December,West Wimmera,Organisations,11
2021,December,West Wimmera,People,98
2021,December,Whitehorse,Females,"1,580"
2021,December,Whitehorse,Males,"1,922"
2021,December,Whitehorse,Organisations,"1,341"
2021,December,Whitehorse,People,"3,535"
2021,December,Whittlesea,Females,"2,499"
2021,December,Whittlesea,Males,"2,696"
2021,December,Whittlesea,Organisations,"1,945"
2021,December,Whittlesea,People,"5,281"
2021,December,Wodonga,Females,668
2021,December,Wodonga,Males,612
2021,December,Wodonga,Organisations,346
2021,December,Wodonga,People,"1,302"
2021,December,Wyndham,Females,"3,463"
2021,December,Wyndham,Males,"3,874"
2021,December,Wyndham,Organisations,"2,569"
2021,December,Wyndham,People,"7,443"
2021,December,Yarra,Females,"2,387"
2021,December,Yarra,Males,"3,204"
2021,December,Yarra,Organisations,"1,894"
2021,December,Yarra,People,"5,667"
2021,December,Yarra Ranges,Females,"1,415"
2021,December,Yarra Ranges,Males,"1,363"
2021,December,Yarra Ranges,Organisations,"1,031"
2021,December,Yarra Ranges,People,"2,817"
2021,December,Yarriambiack,Females,76
2021,December,Yarriambiack,Males,76
2021,December,Yarriambiack,Organisations,38
2021,December,Yarriambiack,People,155
2020,December,Alpine,Females,88
2020,December,Alpine,Males,92
2020,December,Alpine,Organisations,58
2020,December,Alpine,People,187
2020,December,Ararat,Females,252
2020,December,Ararat,Males,260
2020,December,Ararat,Organisations,123
2020,December,Ararat,People,526
2020,December,Ballarat,Females,"2,000"
2020,December,Ballarat,Males,"1,968"
2020,December,Ballarat,Organisations,"1,486"
2020,December,Ballarat,People,"4,039"
2020,December,Banyule,Females,"1,556"
2020,December,Banyule,Males,"1,846"
2020,December,Banyule,Organisations,"1,031"
2020,December,Banyule,People,"3,457"
2020,December,Bass Coast,Females,576
2020,December,Bass Coast,Males,583
2020,December,Bass Coast,Organisations,261
2020,December,Bass Coast,People,"1,179"
2020,December,Baw Baw,Females,817
2020,December,Baw Baw,Males,827
2020,December,Baw Baw,Organisations,533
2020,December,Baw Baw,People,"1,671"
2020,December,Bayside,Females,"1,118"
2020,December,Bayside,Males,"1,441"
2020,December,Bayside,Organisations,698
2020,December,Bayside,People,"2,574"
2020,December,Benalla,Females,221
2020,December,Benalla,Males,267
2020,December,Benalla,Organisations,148
2020,December,Benalla,People,500
2020,December,Boroondara,Females,"1,733"
2020,December,Boroondara,Males,"2,305"
2020,December,Boroondara,Organisations,"1,382"
2020,December,Boroondara,People,"4,070"
2020,December,Brimbank,Females,"3,056"
2020,December,Brimbank,Males,"4,141"
2020,December,Brimbank,Organisations,"3,397"
2020,December,Brimbank,People,"7,295"
2020,December,Buloke,Females,74
2020,December,Buloke,Males,70
2020,December,Buloke,Organisations,33
2020,December,Buloke,People,146
2020,December,Campaspe,Females,519
2020,December,Campaspe,Males,589
2020,December,Campaspe,Organisations,392
2020,December,Campaspe,People,"1,131"
2020,December,Cardinia,Females,"1,307"
2020,December,Cardinia,Males,"1,444"
2020,December,Cardinia,Organisations,"1,040"
2020,December,Cardinia,People,"2,798"
2020,December,Casey,Females,"4,374"
2020,December,Casey,Males,"4,838"
2020,December,Casey,Organisations,"2,744"
2020,December,Casey,People,"9,353"
2020,December,Central Goldfields,Females,233
2020,December,Central Goldfields,Males,173
2020,December,Central Goldfields,Organisations,89
2020,December,Central Goldfields,People,411
2020,December,Colac-Otway,Females,317
2020,December,Colac-Otway,Males,320
2020,December,Colac-Otway,Organisations,180
2020,December,Colac-Otway,People,648
2020,December,Corangamite,Females,149
2020,December,Corangamite,Males,163
2020,December,Corangamite,Organisations,96
2020,December,Corangamite,People,320
2020,December,Darebin,Females,"2,737"
2020,December,Darebin,Males,"3,632"
2020,December,Darebin,Organisations,"2,074"
2020,December,Darebin,People,"6,485"
2020,December,East Gippsland,Females,"1,043"
2020,December,East Gippsland,Males,908
2020,December,East Gippsland,Organisations,490
2020,December,East Gippsland,People,"1,980"
2020,December,Frankston,Females,"2,407"
2020,December,Frankston,Males,"2,527"
2020,December,Frankston,Organisations,"1,632"
2020,December,Frankston,People,"5,033"
2020,December,Gannawarra,Females,126
2020,December,Gannawarra,Males,134
2020,December,Gannawarra,Organisations,98
2020,December,Gannawarra,People,267
2020,December,Glen Eira,Females,"1,716"
2020,December,Glen Eira,Males,"2,203"
2020,December,Glen Eira,Organisations,984
2020,December,Glen Eira,People,"3,946"
2020,December,Glenelg,Females,275
2020,December,Glenelg,Males,254
2020,December,Glenelg,Organisations,171
2020,December,Glenelg,People,537
2020,December,Golden Plains,Females,135
2020,December,Golden Plains,Males,140
2020,December,Golden Plains,Organisations,66
2020,December,Golden Plains,People,279
2020,December,Greater Bendigo,Females,"2,010"
2020,December,Greater Bendigo,Males,"1,959"
2020,December,Greater Bendigo,Organisations,"1,488"
2020,December,Greater Bendigo,People,"4,028"
2020,December,Greater Dandenong,Females,"2,944"
2020,December,Greater Dandenong,Males,"4,176"
2020,December,Greater Dandenong,Organisations,"2,413"
2020,December,Greater Dandenong,People,"7,236"
2020,December,Greater Geelong,Females,"4,148"
2020,December,Greater Geelong,Males,"4,430"
2020,December,Greater Geelong,Organisations,"3,302"
2020,December,Greater Geelong,People,"8,729"
2020,December,Greater Shepparton,Females,"1,435"
2020,December,Greater Shepparton,Males,"1,364"
2020,December,Greater Shepparton,Organisations,"1,079"
2020,December,Greater Shepparton,People,"2,877"
2020,December,Hepburn,Females,155
2020,December,Hepburn,Males,193
2020,December,Hepburn,Organisations,89
2020,December,Hepburn,People,353
2020,December,Hindmarsh,Females,106
2020,December,Hindmarsh,Males,82
2020,December,Hindmarsh,Organisations,34
2020,December,Hindmarsh,People,188
